Date;CO2;SO2;Rh;Tair;P;Latitude;Longitude;Elevation
27/11/2012 13:41:49;188.18;0.20513;12.636;10.613;706.89;-25.154818967;-68.5253520124;4980.25
27/11/2012 13:41:51;188.75;0.19231;12.627;10.628;707.06;-25.154818967;-68.5253520124;4980.25
27/11/2012 13:41:53;189.18;0.20513;12.617;10.642;707.08;-25.154818967;-68.5253520124;4981.21
27/11/2012 13:41:55;188.9;0.19872;12.608;10.656;707.11;-25.154818967;-68.5253520124;4981.21
27/11/2012 13:41:57;189.47;0.20513;12.56;10.675;707.17;-25.154818967;-68.5253520124;4981.21
27/11/2012 13:41:59;189.47;0.20513;12.513;10.68;707.17;-25.154818967;-68.5253520124;4981.21
27/11/2012 13:42:01;189.04;0.19231;12.47;10.685;707.14;-25.154818967;-68.5253520124;4981.21
27/11/2012 13:42:03;189.47;0.21154;12.465;10.713;707.17;-25.154818967;-68.5253520124;4981.21
27/11/2012 13:42:05;189.62;0.19872;12.446;10.723;707.11;-25.154818967;-68.5253520124;4981.21
27/11/2012 13:42:07;189.33;0.19872;12.46;10.728;707.14;-25.154818967;-68.5253520124;4981.21
27/11/2012 13:42:09;188.75;0.20513;12.498;10.747;707.17;-25.154818967;-68.5253520124;4981.69
27/11/2012 13:42:11;189.18;0.1859;12.532;10.747;707.08;-25.154818967;-68.5253520124;4981.69
27/11/2012 13:42:13;188.18;0.20513;12.565;10.766;707.11;-25.154818967;-68.5253520124;4981.69
27/11/2012 13:42:15;189.47;0.21154;12.608;10.785;707.14;-25.1548079867;-68.5253449716;4981.21
27/11/2012 13:42:17;189.47;0.19872;12.617;10.799;707.17;-25.1548000239;-68.5253449716;4982.17
27/11/2012 13:42:19;187.6;0.20513;12.598;10.804;707.17;-25.1548079867;-68.5253370088;4981.21
27/11/2012 13:42:21;189.04;0.19872;12.684;10.818;707.14;-25.1548079867;-68.5253370088;4981.21
27/11/2012 13:42:23;191.63;0.20513;12.813;10.828;707.17;-25.1548000239;-68.5253449716;4981.69
27/11/2012 13:42:25;193.06;0.20513;12.842;10.842;707.11;-25.1547779795;-68.5253449716;4981.69
27/11/2012 13:42:27;191.63;0.19231;12.822;10.847;707.08;-25.1547580305;-68.5253520124;4981.21
27/11/2012 13:42:29;196.23;0.20513;12.746;10.866;707.14;-25.1547550131;-68.5253449716;4981.21
27/11/2012 13:42:31;195.22;0.19872;13.166;10.871;707.11;-25.1547550131;-68.5253449716;4981.69
27/11/2012 13:42:33;195.51;0.21154;13.409;10.89;707.17;-25.1547410153;-68.5253520124;4981.69
27/11/2012 13:42:35;194.93;0.21154;13.342;10.909;707.19;-25.154736992;-68.5253520124;4980.73
